quarter,manager,filer_cik,filer_name,status,form,accession,filing_date,detail
2024Q2,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-24-002860,2024-07-23,29 rows from 1 filing(s)
2024Q2,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-24-005150,2024-08-14,24 rows from 1 filing(s)
2024Q2,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-24-000690,2024-08-14,267 rows from 1 filing(s)
2024Q2,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-24-003511,2024-08-14,9 rows from 1 filing(s)
2024Q2,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-24-000007,2024-08-14,10 rows from 1 filing(s)
2024Q2,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001085146-24-004004,2024-08-14,44 rows from 1 filing(s)
2024Q2,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-004713,2024-08-14,44 rows from 1 filing(s)
2024Q2,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0000905148-24-002226,2024-08-14,82 rows from 1 filing(s)
2024Q3,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-24-000009,2024-11-14,23 rows from 1 filing(s)
2024Q3,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-24-000004,2024-11-14,38 rows from 1 filing(s)
2024Q3,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-24-000010,2024-11-14,43 rows from 1 filing(s)
2024Q3,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0000950123-24-011775,2024-11-14,121 rows from 1 filing(s)
2024Q3,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-006691,2024-11-14,238 rows from 1 filing(s)
2024Q3,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-006738,2024-11-14,7 rows from 1 filing(s)
2024Q3,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001520023-24-000040,2024-11-14,40 rows from 1 filing(s)
2024Q3,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001520023-24-000041,2024-11-14,28 rows from 1 filing(s)
2024Q3,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-24-000012,2024-11-13,52 rows from 1 filing(s)
2024Q3,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-24-005240,2024-11-14,79 rows from 1 filing(s)
2024Q3,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-24-002435,2024-11-14,19 rows from 1 filing(s)
2024Q3,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-24-000945,2024-11-14,40 rows from 1 filing(s)
2024Q3,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-24-004289,2024-10-17,29 rows from 1 filing(s)
2024Q3,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-24-006633,2024-11-14,29 rows from 1 filing(s)
2024Q3,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-24-000903,2024-11-14,229 rows from 1 filing(s)
2024Q3,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-24-005218,2024-11-14,11 rows from 1 filing(s)
2024Q3,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-24-000011,2024-11-14,10 rows from 1 filing(s)
2024Q3,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001085146-24-005927,2024-11-14,42 rows from 1 filing(s)
2024Q3,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-24-006690,2024-11-14,45 rows from 1 filing(s)
2024Q3,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-24-000006,2024-11-14,83 rows from 1 filing(s)
2024Q4,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-25-000002,2025-02-14,24 rows from 1 filing(s)
2024Q4,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-25-000001,2025-02-10,37 rows from 1 filing(s)
2024Q4,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001768757-25-000003,2025-02-14,45 rows from 1 filing(s)
2024Q4,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0000950123-25-002701,2025-02-14,112 rows from 1 filing(s)
2024Q4,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-001429,2025-02-14,245 rows from 1 filing(s)
2024Q4,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-001521,2025-02-14,10 rows from 1 filing(s)
2024Q4,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001520023-25-000002,2025-02-14,38 rows from 1 filing(s)
2024Q4,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-25-000008,2025-02-14,31 rows from 1 filing(s)
2024Q4,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR/A,0001641864-25-000005,2025-08-12,62 rows from 1 filing(s)
2024Q4,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-25-001165,2025-02-14,74 rows from 1 filing(s)
2024Q4,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-25-000660,2025-02-14,20 rows from 1 filing(s)
2024Q4,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-25-000191,2025-02-14,45 rows from 1 filing(s)
2024Q4,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-25-000270,2025-01-21,28 rows from 1 filing(s)
2024Q4,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-25-001072,2025-02-14,30 rows from 1 filing(s)
2024Q4,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-25-000159,2025-02-14,225 rows from 1 filing(s)
2024Q4,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-25-001119+0001172661-25-001497,2025-04-16,11 rows from 2 filing(s)
2024Q4,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0000935836-25-000120,2025-02-12,6 rows from 1 filing(s)
2024Q4,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-25-000003,2025-02-14,10 rows from 1 filing(s)
2024Q4,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001085146-25-001713,2025-02-14,43 rows from 1 filing(s)
2024Q4,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-001475,2025-02-14,49 rows from 1 filing(s)
2024Q4,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-25-000002,2025-02-14,86 rows from 1 filing(s)
2025Q1,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-25-000005,2025-05-15,22 rows from 1 filing(s)
2025Q1,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-25-000005,2025-05-15,38 rows from 1 filing(s)
2025Q1,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-25-000005,2025-05-15,44 rows from 1 filing(s)
2025Q1,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0000950123-25-005701+0000950123-25-008361,2025-08-14,114 rows from 2 filing(s)
2025Q1,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-003179,2025-05-15,201 rows from 1 filing(s)
2025Q1,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-003250,2025-05-15,12 rows from 1 filing(s)
2025Q1,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001520023-25-000003,2025-05-15,38 rows from 1 filing(s)
2025Q1,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-25-000009,2025-05-15,27 rows from 1 filing(s)
2025Q1,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR/A,0001641864-25-000006,2025-08-12,54 rows from 1 filing(s)
2025Q1,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-25-002307,2025-05-15,68 rows from 1 filing(s)
2025Q1,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-25-001390,2025-05-15,21 rows from 1 filing(s)
2025Q1,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR/A,0000945621-25-000506,2025-05-15,41 rows from 1 filing(s)
2025Q1,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-25-001932,2025-05-15,29 rows from 1 filing(s)
2025Q1,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-25-002417,2025-05-15,24 rows from 1 filing(s)
2025Q1,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-25-000533,2025-05-15,235 rows from 1 filing(s)
2025Q1,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-25-002315,2025-05-15,11 rows from 1 filing(s)
2025Q1,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0002045724-25-000002,2025-05-14,12 rows from 1 filing(s)
2025Q1,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-25-000005,2025-05-15,10 rows from 1 filing(s)
2025Q1,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001085146-25-003337,2025-05-15,45 rows from 1 filing(s)
2025Q1,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-003217,2025-05-15,45 rows from 1 filing(s)
2025Q1,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-25-000004,2025-05-15,91 rows from 1 filing(s)
2025Q2,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-25-000009,2025-08-14,18 rows from 1 filing(s)
2025Q2,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-25-000006,2025-08-14,38 rows from 1 filing(s)
2025Q2,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001768757-25-000010,2025-08-14,48 rows from 1 filing(s)
2025Q2,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0000950123-25-008343,2025-08-14,114 rows from 1 filing(s)
2025Q2,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-004823,2025-08-14,212 rows from 1 filing(s)
2025Q2,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-004911,2025-08-14,12 rows from 1 filing(s)
2025Q2,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001801547-25-000008,2025-08-14,39 rows from 1 filing(s)
2025Q2,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001801547-25-000007,2025-08-14,26 rows from 1 filing(s)
2025Q2,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-25-000007,2025-08-13,55 rows from 1 filing(s)
2025Q2,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-25-003351,2025-08-14,69 rows from 1 filing(s)
2025Q2,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-25-002145,2025-08-14,19 rows from 1 filing(s)
2025Q2,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-25-000771,2025-08-14,40 rows from 1 filing(s)
2025Q2,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-25-002977,2025-08-08,29 rows from 1 filing(s)
2025Q2,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-25-003627,2025-08-14,24 rows from 1 filing(s)
2025Q2,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-25-000775,2025-08-14,251 rows from 1 filing(s)
2025Q2,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-25-003509,2025-08-14,11 rows from 1 filing(s)
2025Q2,Pershing Square,2026053,PERSHING SQUARE INC.,HOLDINGS,13F-HR,0001172661-25-003512,2025-08-14,1 rows from 1 filing(s)
2025Q2,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0002045724-25-000006,2025-08-14,9 rows from 1 filing(s)
2025Q2,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-25-000009,2025-08-14,10 rows from 1 filing(s)
2025Q2,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001085146-25-005277,2025-08-14,51 rows from 1 filing(s)
2025Q2,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-004870,2025-08-14,50 rows from 1 filing(s)
2025Q2,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-25-000007,2025-08-14,83 rows from 1 filing(s)
2025Q3,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-25-000013,2025-11-14,23 rows from 1 filing(s)
2025Q3,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-25-000007,2025-11-13,45 rows from 1 filing(s)
2025Q3,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-25-000008,2025-11-14,58 rows from 1 filing(s)
2025Q3,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0001193125-25-282901,2025-11-14,115 rows from 1 filing(s)
2025Q3,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-006976,2025-11-14,258 rows from 1 filing(s)
2025Q3,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-007000,2025-11-14,12 rows from 1 filing(s)
2025Q3,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001569205-25-000004,2025-11-14,35 rows from 1 filing(s)
2025Q3,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-25-000015,2025-11-14,23 rows from 1 filing(s)
2025Q3,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR/A,0001641864-25-000012,2025-11-17,52 rows from 1 filing(s)
2025Q3,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-25-005032,2025-11-14,72 rows from 1 filing(s)
2025Q3,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-25-002973,2025-11-14,20 rows from 1 filing(s)
2025Q3,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-25-001130,2025-11-14,41 rows from 1 filing(s)
2025Q3,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-25-004712,2025-11-12,28 rows from 1 filing(s)
2025Q3,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-25-004988,2025-11-14,25 rows from 1 filing(s)
2025Q3,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-25-001016,2025-11-14,203 rows from 1 filing(s)
2025Q3,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-25-005039,2025-11-14,11 rows from 1 filing(s)
2025Q3,Pershing Square,2026053,PERSHING SQUARE INC.,HOLDINGS,13F-HR,0001172661-25-005115,2025-11-14,1 rows from 1 filing(s)
2025Q3,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0002045724-25-000008,2025-11-14,28 rows from 1 filing(s)
2025Q3,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-25-000014,2025-11-14,9 rows from 1 filing(s)
2025Q3,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001040273-25-000003,2025-11-14,46 rows from 1 filing(s)
2025Q3,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-25-006931,2025-11-14,56 rows from 1 filing(s)
2025Q3,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-25-000010,2025-11-14,78 rows from 1 filing(s)
2025Q4,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-26-000002,2026-02-17,18 rows from 1 filing(s)
2025Q4,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-26-000001,2026-02-17,39 rows from 1 filing(s)
2025Q4,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-26-000003,2026-02-17,56 rows from 1 filing(s)
2025Q4,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0001193125-26-054580,2026-02-17,110 rows from 1 filing(s)
2025Q4,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR/A,0000919574-26-003414,2026-05-15,260 rows from 1 filing(s)
2025Q4,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-001186,2026-02-17,15 rows from 1 filing(s)
2025Q4,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001569205-26-000002,2026-02-17,37 rows from 1 filing(s)
2025Q4,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-26-000002,2026-02-17,26 rows from 1 filing(s)
2025Q4,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-26-000002,2026-02-13,50 rows from 1 filing(s)
2025Q4,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-26-001122,2026-02-17,84 rows from 1 filing(s)
2025Q4,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-26-000679,2026-02-17,19 rows from 1 filing(s)
2025Q4,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-26-000329,2026-02-17,40 rows from 1 filing(s)
2025Q4,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-26-000625,2026-02-11,28 rows from 1 filing(s)
2025Q4,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000902664-26-001084,2026-02-17,32 rows from 1 filing(s)
2025Q4,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-26-000150,2026-02-13,179 rows from 1 filing(s)
2025Q4,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-26-001091,2026-02-17,11 rows from 1 filing(s)
2025Q4,Pershing Square,2026053,PERSHING SQUARE INC.,HOLDINGS,13F-HR,0001172661-26-001095,2026-02-17,1 rows from 1 filing(s)
2025Q4,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0002045724-26-000002,2026-02-11,29 rows from 1 filing(s)
2025Q4,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-26-000002,2026-02-17,9 rows from 1 filing(s)
2025Q4,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001040273-26-000001,2026-02-17,44 rows from 1 filing(s)
2025Q4,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-001143,2026-02-17,54 rows from 1 filing(s)
2025Q4,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-26-000002,2026-02-17,76 rows from 1 filing(s)
2026Q1,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-26-000006,2026-05-15,13 rows from 1 filing(s)
2026Q1,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-26-000002,2026-05-15,31 rows from 1 filing(s)
2026Q1,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-26-000006,2026-05-18,54 rows from 1 filing(s)
2026Q1,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0001193125-26-226661,2026-05-15,90 rows from 1 filing(s)
2026Q1,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-003501,2026-05-15,198 rows from 1 filing(s)
2026Q1,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-003485,2026-05-15,10 rows from 1 filing(s)
2026Q1,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001569205-26-000005,2026-05-15,34 rows from 1 filing(s)
2026Q1,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-26-000003,2026-05-15,24 rows from 1 filing(s)
2026Q1,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-26-000004,2026-05-15,51 rows from 1 filing(s)
2026Q1,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-26-002341,2026-05-15,92 rows from 1 filing(s)
2026Q1,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-26-001469,2026-05-15,18 rows from 1 filing(s)
2026Q1,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-26-000719,2026-05-15,41 rows from 1 filing(s)
2026Q1,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-26-001535,2026-04-24,27 rows from 1 filing(s)
2026Q1,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000919574-26-003439,2026-05-15,36 rows from 1 filing(s)
2026Q1,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-26-000553,2026-05-15,241 rows from 1 filing(s)
2026Q1,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",HOLDINGS,13F-HR,0001172661-26-002336,2026-05-15,11 rows from 1 filing(s)
2026Q1,Pershing Square,2026053,PERSHING SQUARE INC.,HOLDINGS,13F-HR,0001172661-26-002339,2026-05-15,1 rows from 1 filing(s)
2026Q1,Situational Awareness,2038540,Situational Awareness Partners LP,DUPLICATE,13F-HR,0002038540-26-000004,2026-05-18,"book identical to filer 2045724 acc 0002045724-26-000008 (42 rows, CUSIP+class+put/call+type+shares+value multiset match); excluded to avoid double-counting Situational Awareness"
2026Q1,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0002045724-26-000008,2026-05-18,42 rows from 1 filing(s)
2026Q1,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-26-000004,2026-05-15,10 rows from 1 filing(s)
2026Q1,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001040273-26-000002,2026-05-15,33 rows from 1 filing(s)
2026Q1,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-003362,2026-05-15,54 rows from 1 filing(s)
2026Q1,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-26-000004,2026-05-15,77 rows from 1 filing(s)
2026Q2,Altimeter,1541617,"Altimeter Capital Management, LP",HOLDINGS,13F-HR,0001541617-26-000008,2026-08-14,20 rows from 1 filing(s)
2026Q2,Appaloosa,1656456,Appaloosa LP,HOLDINGS,13F-HR,0001656456-26-000003,2026-08-14,27 rows from 1 filing(s)
2026Q2,Atreides,1777813,"Atreides Management, LP",HOLDINGS,13F-HR,0001777813-26-000009,2026-08-14,49 rows from 1 filing(s)
2026Q2,Berkshire Hathaway,1067983,BERKSHIRE HATHAWAY INC,HOLDINGS,13F-HR,0001193125-26-352200,2026-08-14,89 rows from 1 filing(s)
2026Q2,Coatue,1135730,COATUE MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-005478,2026-08-14,211 rows from 1 filing(s)
2026Q2,Fairholme,1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-005488,2026-08-14,13 rows from 1 filing(s)
2026Q2,Fundsmith,1569205,Fundsmith LLP,HOLDINGS,13F-HR,0001569205-26-000012,2026-08-14,41 rows from 1 filing(s)
2026Q2,Fundsmith,1868537,FUNDSMITH INVESTMENT SERVICES LTD.,HOLDINGS,13F-HR,0001868537-26-000007,2026-08-14,27 rows from 1 filing(s)
2026Q2,Giverny,1641864,Giverny Capital Inc.,HOLDINGS,13F-HR,0001641864-26-000005,2026-08-14,51 rows from 1 filing(s)
2026Q2,Greenlight,1489933,"DME Capital Management, LP",HOLDINGS,13F-HR,0001172661-26-003786,2026-08-14,95 rows from 1 filing(s)
