filer_cik,quarter,accession,form,filing_date,role,in_book,detail
1868537,2025Q2,0001801547-25-000007,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2025Q3,0001868537-25-000015,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2025Q4,0001868537-26-000002,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2026Q1,0001868537-26-000003,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
1868537,2026Q2,0001868537-26-000007,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2026053,2025Q2,0001172661-25-003512,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2026053,2025Q3,0001172661-25-005115,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2026053,2025Q4,0001172661-26-001095,13F-HR,2026-02-17,BASE_ORIGINAL,True,original 13F-HR is the base filing
2026053,2026Q1,0001172661-26-002339,13F-HR,2026-05-15,BASE_ORIGINAL,True,original 13F-HR is the base filing
2026053,2026Q2,0001172661-26-003790,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2038540,2026Q1,0002038540-26-000004,13F-HR,2026-05-18,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2024Q4,0000935836-25-000120,13F-HR,2025-02-12,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2025Q1,0002045724-25-000002,13F-HR,2025-05-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2025Q2,0002045724-25-000006,13F-HR,2025-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2025Q3,0002045724-25-000008,13F-HR,2025-11-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2025Q4,0002045724-26-000002,13F-HR,2026-02-11,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2026Q1,0002045724-26-000008,13F-HR,2026-05-18,BASE_ORIGINAL,True,original 13F-HR is the base filing
2045724,2026Q2,0000935836-26-000418,13F-HR,2026-08-14,BASE_ORIGINAL,True,original 13F-HR is the base filing
2038540,2026Q1,0002038540-26-000004,13F-HR,2026-05-18,DUPLICATE_BOOK,False,"Situational Awareness: book identical to filer 2045724 acc 0002045724-26-000008 (42 rows, CUSIP+class+put/call+type+shares+value multiset match); excluded to avoid double-counting Situational Awareness"
